Average heights,          sum(height - 68.08847) / n,,,,,
68.08846983,6.333196797,,,,,
,,,,,,
child,(height - 68.088) ^ 2,,,,,
61.7,40.81254674,,,,,-6.388469828
61.7,40.81254674,,,,,-6.388469828
61.7,40.81254674,,,,,-6.388469828
61.7,40.81254674,,,,,-6.388469828
61.7,40.81254674,,,,,-6.388469828
62.2,34.67407691,,,,,-5.888469828
62.2,34.67407691,,,,,-5.888469828
62.2,34.67407691,,,,,-5.888469828
62.2,34.67407691,,,,,-5.888469828
62.2,34.67407691,,,,,-5.888469828
62.2,34.67407691,,,,,-5.888469828
62.2,34.67407691,,,,,-5.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
63.2,23.89713726,,,,,-4.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
64.2,15.1201976,,,,,-3.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
